utime,vel vx,vel vy,vel wz,odometry x,odometry y,odometry theta,apriltag id,apriltag longitude,apriltag latitude,apriltag world_x,apriltag world_y
1712956855441080,0.2809613049,0,-0.0660905987,2.048338413,0.2136094421,-1.703128219,-1,-1,-1,-1,-1
1712956855481530,0.2832402587,0,-0.02674867585,2.046843529,0.202378884,-1.704198122,-1,-1,-1,-1,-1
1712956855522000,0.2841410935,0,-0.06683851779,2.045331717,0.191114217,-1.706871629,-1,-1,-1,-1,-1
1712956855563250,0.2828045189,0,-0.06556351483,2.043797255,0.1799066067,-1.709494114,-1,-1,-1,-1,-1
1712956855603660,0.2814359367,0,-0.107100375,2.042240858,0.1687572747,-1.713778138,-1,-1,-1,-1,-1
1712956855644200,0.2826253772,0,-0.0533811748,2.040629864,0.1575676203,-1.715913415,-1,-1,-1,-1,-1
1712956855684640,0.2843167484,0,-0.04012801126,2.038985252,0.1463144869,-1.717518568,-1,-1,-1,-1,-1
1712956855725060,0.2730025053,0,0.8297410607,2.037388802,0.1355117112,-1.684328914,-1,-1,-1,-1,-1
1712956855765450,0.2732323408,0,1.339418888,2.036150694,0.1246527806,-1.630752206,-1,-1,-1,-1,-1
1712956855805860,0.2887324095,0,1.646669626,2.035458565,0.1131242365,-1.564885378,-1,-1,-1,-1,-1
1712956855847230,0.2870742381,0,1.725856304,2.035526514,0.1016414687,-1.495851159,-1,-1,-1,-1,-1
1712956855887680,0.2739022076,0,1.886012197,2.036346912,0.09071613848,-1.420410633,-1,-1,-1,-1,-1
1712956855928100,0.2750592828,0,1.846660376,2.037995338,0.07983794808,-1.346544266,-1,-1,-1,-1,-1
1712956855968490,0.2774244249,0,1.848535299,2.040462971,0.06901883334,-1.272602797,-1,-1,-1,-1,-1
1712956856008910,0.28241539,0,1.860456347,2.043781757,0.05822075158,-1.19818449,-1,-1,-1,-1,-1
1712956856049450,0.2815446556,0,1.854720235,2.047881603,0.04773175344,-1.123995662,-1,-1,-1,-1,-1
1712956856089880,0.2802410126,0,1.886618614,2.052725077,0.03762251884,-1.048530936,-1,-1,-1,-1,-1
1712956856131530,0.274048239,0,1.779360294,2.058193445,0.02812191099,-0.9773565531,-1,-1,-1,-1,-1
1712956856172820,0.2815515101,0,1.834266305,2.064491272,0.01878541522,-0.9039859176,-1,-1,-1,-1,-1
1712956856213240,0.2802964449,0,1.833460331,2.071425676,0.009975155815,-0.8306475282,-1,-1,-1,-1,-1
1712956856253790,0.2804365456,0,1.840922713,2.078990698,0.001692539081,-0.7570106387,-1,-1,-1,-1,-1
1712956856294230,0.2791439593,0,1.846112609,2.087106943,-0.005975563079,-0.6831661463,-1,-1,-1,-1,-1
1712956856334640,0.2793166637,0,1.847254634,2.095772266,-0.01302832831,-0.6092759371,-1,-1,-1,-1,-1
1712956856375030,0.2825971842,0,1.808081031,2.105042219,-0.01949724741,-0.5369526744,-1,-1,-1,-1,-1
1712956856415440,0.2804213464,0,1.834277272,2.114680529,-0.0252348911,-0.4635815918,-1,-1,-1,-1,-1
