utime,type,apriltag id,apriltag x,apriltag y,apriltag z,odometry x,odometry y,odometry theta,vel vx,vel vy,vel wz
1712884320960534,MBOT_APRILTAG_ARRAY,80,180.2234344482422,16.41215705871582,697.496337890625,0,0,0,0,0,0
1712884320996100,MBOT_APRILTAG_ARRAY,80,180.3589630126953,16.42487907409668,698.0179443359375,0,0,0,0,0,0
1712884321034378,MBOT_APRILTAG_ARRAY,80,180.4857940673828,16.437244415283203,698.5108032226562,0,0,0,0,0,0
1712884321067001,MBOT_APRILTAG_ARRAY,80,180.5863037109375,16.446195602416992,698.888671875,0,0,0,0,0,0
1712884321090756,MBOT_APRILTAG_ARRAY,80,180.1744842529297,16.43882942199707,697.3324584960938,0,0,0,0,0,0
1712884321115036,MBOT_APRILTAG_ARRAY,80,180.21392822265625,16.4420166015625,697.4645385742188,0,0,0,0,0,0
1712884321138045,MBOT_APRILTAG_ARRAY,80,180.12521362304688,16.43299102783203,697.1351928710938,0,0,0,0,0,0
1712884321164381,MBOT_APRILTAG_ARRAY,80,179.9887237548828,16.419923782348633,696.6126708984375,0,0,0,0,0,0
1712884321191105,MBOT_APRILTAG_ARRAY,80,180.17201232910156,16.421367645263672,697.2872924804688,0,0,0,0,0,0
1712884321220925,MBOT_APRILTAG_ARRAY,80,180.38406372070312,16.423452377319336,698.1237182617188,0,0,0,0,0,0
1712884321256581,MBOT_APRILTAG_ARRAY,80,180.5138702392578,16.436290740966797,698.6151733398438,0,0,0,0,0,0
1712884321371203,MBOT_APRILTAG_ARRAY,80,164.55990600585938,16.217121124267578,667.8489379882812,0,0,0,0,0,0
1712884321401994,MBOT_APRILTAG_ARRAY,80,167.8832550048828,15.813689231872559,673.6123657226562,0,0,0,0,0,0
1712884331081367,MBOT_APRILTAG_ARRAY,50,-201.39857482910156,20.671049118041992,732.4420166015625,0,0,0,0,0,0
1712884331109600,MBOT_APRILTAG_ARRAY,50,-202.4368438720703,20.75806999206543,736.5858764648438,0,0,0,0,0,0
1712884331139877,MBOT_APRILTAG_ARRAY,50,-202.97598266601562,20.792469024658203,738.550537109375,0,0,0,0,0,0
1712884331170348,MBOT_APRILTAG_ARRAY,50,-202.23878479003906,20.737218856811523,735.8717651367188,0,0,0,0,0,0
1712884331209043,MBOT_APRILTAG_ARRAY,50,-202.30075073242188,20.743114471435547,736.1053466796875,0,0,0,0,0,0
1712884331232368,MBOT_APRILTAG_ARRAY,50,-202.1807861328125,20.734981536865234,735.6818237304688,0,0,0,0,0,0
1712884331260581,MBOT_APRILTAG_ARRAY,50,-202.07069396972656,20.721500396728516,735.2915649414062,0,0,0,0,0,0
1712884331290489,MBOT_APRILTAG_ARRAY,50,-202.09304809570312,20.724586486816406,735.3827514648438,0,0,0,0,0,0
1712884331322195,MBOT_APRILTAG_ARRAY,50,-202.03700256347656,20.721858978271484,735.2052001953125,0,0,0,0,0,0
1712884331350583,MBOT_APRILTAG_ARRAY,50,-202.00613403320312,20.718320846557617,735.095458984375,0,0,0,0,0,0
1712884331380970,MBOT_APRILTAG_ARRAY,50,-201.9249267578125,20.71183967590332,734.8079833984375,0,0,0,0,0,0
1712884331423212,MBOT_APRILTAG_ARRAY,50,-201.9130401611328,20.712369918823242,734.7603149414062,0,0,0,0,0,0
1712884331454028,MBOT_APRILTAG_ARRAY,50,-202.61199951171875,20.802268981933594,737.2886352539062,0,0,0,0,0,0
1712884331486673,MBOT_APRILTAG_ARRAY,50,-202.395751953125,20.77442741394043,736.5166015625,0,0,0,0,0,0
1712884331513360,MBOT_APRILTAG_ARRAY,50,-201.9882049560547,20.71673583984375,735.0369873046875,0,0,0,0,0,0
1712884331539352,MBOT_APRILTAG_ARRAY,50,-201.9859161376953,20.714113235473633,735.02685546875,0,0,0,0,0,0
1712884331566597,MBOT_APRILTAG_ARRAY,50,-202.09259033203125,20.72271156311035,735.4078979492188,0,0,0,0,0,0
1712884331593466,MBOT_APRILTAG_ARRAY,50,-202.06198120117188,20.72011375427246,735.2893676757812,0,0,0,0,0,0
1712884331657966,MBOT_APRILTAG_ARRAY,50,-191.62652587890625,21.459186553955078,713.5557861328125,0,0,0,0,0,0
1712884331683055,MBOT_APRILTAG_ARRAY,50,-193.18832397460938,21.666805267333984,716.1273193359375,0,0,0,0,0,0
1712884331713109,MBOT_APRILTAG_ARRAY,50,-195.04823303222656,21.341737747192383,719.9968872070312,0,0,0,0,0,0
