utime,vel vx,vel vy,vel wz,apriltag 1 id,apriltag 1 latitude,apriltag 1 longitude,apriltag 2 id,apriltag 2 latitude,apriltag 2 longitude,odometry x,odometry y,odometry theta
1713050082699778,0.1858,0.0000,-0.0778,-1,-1,-1,-1,-1,-1,0.9855,-0.0084,-0.05311174690723419
1713050082740199,0.1886,0.0000,-0.0401,-1,-1,-1,-1,-1,-1,0.9930,-0.0088,-0.05471773445606232
1713050082780611,0.1866,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,1.0005,-0.0092,-0.05632408335804939
1713050082821026,0.1845,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,1.0079,-0.0097,-0.05793030932545662
1713050082861436,0.1876,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,1.0154,-0.0101,-0.060072217136621475
1713050082902063,0.1876,0.0000,-0.0399,-1,-1,-1,-1,-1,-1,1.0229,-0.0105,-0.06167006865143776
1713050082940440,0.1976,0.0000,-0.0282,-1,-1,-1,-1,-1,-1,1.0307,-0.0110,-0.06279775500297546
1713050082981641,0.1881,0.0000,-0.0788,-1,-1,-1,-1,-1,-1,1.0382,-0.0115,-0.06594892591238022
1713050083022062,0.1876,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,1.0457,-0.0120,-0.06701958179473877
1713050083062480,0.1876,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,1.0532,-0.0125,-0.06809031963348389
1713050083103113,0.1866,0.0000,-0.0266,-1,-1,-1,-1,-1,-1,1.0607,-0.0130,-0.06915539503097534
1713050083143549,0.1885,0.0000,-0.0669,-1,-1,-1,-1,-1,-1,1.0682,-0.0135,-0.07183105498552322
1713050083183963,0.1886,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,1.0757,-0.0141,-0.07343732565641403
1713050083224377,0.1866,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,1.0832,-0.0146,-0.07504359632730484
1713050083264792,0.1855,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,1.0906,-0.0152,-0.0771852359175682
1713050083306320,0.1917,0.0000,-0.0651,-1,-1,-1,-1,-1,-1,1.0982,-0.0158,-0.07979053258895874
